prodmetric_stream_key,deviceKey,start_time,end_time,good_count,reject_count,ideal_time,run_time,unplanned_stop_time,planned_stop_time,unplanned_stop_time,performance_impact_display_name,process_state_display_name,process_state_reason_display_name,job_display_name,part_display_name,shift_display_name,team_display_name
5552014,Line1,2025-01-29 18:46:02.8985900 -06:00,2025-01-29 18:47:50.6706630 -06:00,0,0,0,0,107.772073,0,107.772073,Unplanned Stop,Down,No Bottles,Part P-2000,Part P,Second Shift,Team 2
5552011,Line2,2025-01-29 18:43:28.1535690 -06:00,2025-01-29 18:47:32.0827330 -06:00,0,0,0,0,243.929164,0,243.929164,Unplanned Stop,Down,Broken Conveyor,Part M-3000,Part M,Second Shift,Team 3
5552016,Line4,2025-01-29 18:39:58.1684480 -06:00,2025-01-29 18:48:49.3393490 -06:00,197,9,327.9520000000003,531.170901,0,0,0,Run,Running,Running Normally,Part J-4000,Part J,Second Shift,Team 3
5552004,Line3,2025-01-29 18:37:21.3860480 -06:00,2025-01-29 18:47:16.0000000 -06:00,213,18,379.7753810509715,594.613952,0,0,0,Run,Running,Running Normally,Part D-4000,Part D,Second Shift,Team 2
5551981,Line3,2025-01-29 18:37:16.0000000 -06:00,2025-01-29 18:37:21.3860480 -06:00,-10,10,1.646724999999908,5.386048,0,0,0,Run,Running,Running Normally,Part D-4000,Part D,Second Shift,Team 2
5551998,Line2,2025-01-29 18:36:52.0252210 -06:00,2025-01-29 18:43:28.1535690 -06:00,133,1,232.66085000000058,396.128348,0,0,0,Run,Running,Running Normally,Part M-3000,Part M,Second Shift,Team 3
5551997,Line4,2025-01-29 18:36:19.3744710 -06:00,2025-01-29 18:39:58.1684480 -06:00,0,0,0,0,218.793977,0,218.793977,Unplanned Stop,Down,Main B Bus Undervolt,Part J-4000,Part J,Second Shift,Team 3
5551976,Line2,2025-01-29 18:33:50.4277640 -06:00,2025-01-29 18:36:52.0252210 -06:00,0,0,0,0,181.597457,0,181.597457,Unplanned Stop,Down,Main B Bus Undervolt,Part M-3000,Part M,Second Shift,Team 3
5551978,Line3,2025-01-29 18:33:37.0000000 -06:00,2025-01-29 18:37:16.0000000 -06:00,0,0,0,0,0,219,0,Planned Stop,Changeover,Die Exchange,Part D-4000,Part D,Second Shift,Team 2
5551971,Line3,2025-01-29 18:31:33.6339670 -06:00,2025-01-29 18:33:37.0000000 -06:00,75,0,123.5043750000002,123.366033,0,0,0,Run,Running,Running Normally,Part L-2000,Part L,Second Shift,Team 2
5552001,Line1,2025-01-29 18:31:27.1979840 -06:00,2025-01-29 18:46:02.8985900 -06:00,472,24,836.5163999999944,875.700606,0,0,0,Run,Running,Running Normally,Part P-2000,Part P,Second Shift,Team 2
5551958,Line3,2025-01-29 18:28:10.4324360 -06:00,2025-01-29 18:31:33.6339670 -06:00,0,0,0,0,203.201531,0,203.201531,Unplanned Stop,Down,No Bottles,Part L-2000,Part L,Second Shift,Team 2
5551963,Line1,2025-01-29 18:28:03.7694040 -06:00,2025-01-29 18:31:27.1979840 -06:00,0,0,0,0,203.42858,0,203.42858,Unplanned Stop,Down,Breakdown,Part P-2000,Part P,Second Shift,Team 2
5551974,Line2,2025-01-29 18:27:00.4932450 -06:00,2025-01-29 18:33:50.4277640 -06:00,115,11,218.77065000000053,409.934519,0,0,0,Run,Running,Running Normally,Part M-3000,Part M,Second Shift,Team 3
5551949,Line2,2025-01-29 18:25:49.5795070 -06:00,2025-01-29 18:27:00.4932450 -06:00,0,0,0,0,70.913738,0,70.913738,Unplanned Stop,Down,Electrical Fault,Part M-3000,Part M,Second Shift,Team 3
5551954,Line1,2025-01-29 18:21:36.0000000 -06:00,2025-01-29 18:28:03.7694040 -06:00,203,2,344.45671473390536,387.769404,0,0,0,Run,Running,Running Normally,Part P-2000,Part P,Second Shift,Team 2
5551975,Line4,2025-01-29 18:17:21.1869360 -06:00,2025-01-29 18:36:19.3744710 -06:00,412,18,684.5599999999969,1138.187535,0,0,0,Run,Running,Running Normally,Part J-4000,Part J,Second Shift,Team 3
5551939,Line4,2025-01-29 18:14:12.4970080 -06:00,2025-01-29 18:17:21.1869360 -06:00,0,0,0,0,188.689928,0,188.689928,Unplanned Stop,Down,Jam,Part J-4000,Part J,Second Shift,Team 3
5551952,Line3,2025-01-29 18:13:24.7413270 -06:00,2025-01-29 18:28:10.4324360 -06:00,504,12,849.71009999999,885.691109,0,0,0,Run,Running,Running Normally,Part L-2000,Part L,Second Shift,Team 2
5551943,Line1,2025-01-29 18:11:42.3566620 -06:00,2025-01-29 18:21:36.0000000 -06:00,316,38,596.6242352660945,593.643338,0,0,0,Run,Running,Running Normally,Part P-2000,Part P,Second Shift,Team 2
5551923,Line1,2025-01-29 18:11:36.0000000 -06:00,2025-01-29 18:11:42.3566620 -06:00,0,0,1.686525000000445,6.356662,0,0,0,Run,Running,Running Normally,Part P-2000,Part P,Second Shift,Team 2
5551934,Line3,2025-01-29 18:10:11.3461680 -06:00,2025-01-29 18:13:24.7413270 -06:00,0,0,0,0,193.395159,0,193.395159,Unplanned Stop,Down,Power Failure,Part L-2000,Part L,Second Shift,Team 2
5551920,Line1,2025-01-29 18:09:17.0000000 -06:00,2025-01-29 18:11:36.0000000 -06:00,0,0,0,0,0,139,0,Planned Stop,Changeover,Disinfection,Part P-2000,Part P,Second Shift,Team 2
5551913,Line3,2025-01-29 18:05:37.3369440 -06:00,2025-01-29 18:10:11.3461680 -06:00,136,5,230.99355248081744,274.009224,0,0,0,Run,Running,Running Normally,Part L-2000,Part L,Second Shift,Team 2
5551948,Line2,2025-01-29 18:02:38.9607820 -06:00,2025-01-29 18:25:49.5795070 -06:00,471,16,845.5659249999932,1390.618725,0,0,0,Run,Running,Running Normally,Part M-3000,Part M,Second Shift,Team 3
5551938,Line4,2025-01-29 18:01:48.3372550 -06:00,2025-01-29 18:14:12.4970080 -06:00,264,25,460.087999999999,744.159753,0,0,0,Run,Running,Running Normally,Part J-4000,Part J,Second Shift,Team 3
5551893,Line2,2025-01-29 18:00:00.0000000 -06:00,2025-01-29 18:02:38.9607820 -06:00,0,0,0,0,158.960782,0,158.960782,Unplanned Stop,Down,No Bottles,Part M-3000,Part M,Second Shift,Team 3
5551901,Line3,2025-01-29 18:00:00.0000000 -06:00,2025-01-29 18:05:37.3369440 -06:00,205,1,340.2610425231793,337.336944,0,0,0,Run,Running,Running Normally,Part L-2000,Part L,Second Shift,Team 2
5551907,Line1,2025-01-29 18:00:00.0000000 -06:00,2025-01-29 18:09:17.0000000 -06:00,289,11,505.0826012956345,557,0,0,0,Run,Running,Running Normally,Part K-1000,Part K,Second Shift,Team 2
5551891,Line4,2025-01-29 18:00:00.0000000 -06:00,2025-01-29 18:01:48.3372550 -06:00,0,0,0,0,108.337255,0,108.337255,Unplanned Stop,Down,Main B Bus Undervolt,Part J-4000,Part J,Second Shift,Team 3
5551892,Line2,2025-01-29 17:59:30.4152300 -06:00,2025-01-29 18:00:00.0000000 -06:00,0,0,0,0,29.58477,0,29.58477,Unplanned Stop,Down,No Bottles,Part M-3000,Part M,Second Shift,Team 3
5551872,Line4,2025-01-29 17:58:09.4716320 -06:00,2025-01-29 18:00:00.0000000 -06:00,0,0,0,0,110.528368,0,110.528368,Unplanned Stop,Down,Main B Bus Undervolt,Part J-4000,Part J,Second Shift,Team 3
5551873,Line2,2025-01-29 17:51:01.9431240 -06:00,2025-01-29 17:59:30.4152300 -06:00,168,12,312.5294999999999,508.472106,0,0,0,Run,Running,Running Normally,Part M-3000,Part M,Second Shift,Team 3
5551868,Line2,2025-01-29 17:47:36.1078870 -06:00,2025-01-29 17:51:01.9431240 -06:00,0,0,0,0,205.835237,0,205.835237,Unplanned Stop,Down,Jam,Part M-3000,Part M,Second Shift,Team 3
5551869,Line4,2025-01-29 17:47:28.5467940 -06:00,2025-01-29 17:58:09.4716320 -06:00,225,6,367.7519999999999,640.924838,0,0,0,Run,Running,Running Normally,Part J-4000,Part J,Second Shift,Team 3
5551876,Line3,2025-01-29 17:47:20.7696410 -06:00,2025-01-29 18:00:00.0000000 -06:00,438,28,767.532829995997,759.230359,0,0,0,Run,Running,Running Normally,Part L-2000,Part L,Second Shift,Team 2
5551886,Line1,2025-01-29 17:46:35.2496210 -06:00,2025-01-29 18:00:00.0000000 -06:00,440,14,765.7256184807078,804.750379,0,0,0,Run,Running,Running Normally,Part K-1000,Part K,Second Shift,Team 2
5551862,Line4,2025-01-29 17:46:14.3473120 -06:00,2025-01-29 17:47:28.5467940 -06:00,0,0,0,0,74.199482,0,74.199482,Unplanned Stop,Down,Jam,Part J-4000,Part J,Second Shift,Team 3
5551861,Line1,2025-01-29 17:45:19.7535520 -06:00,2025-01-29 17:46:35.2496210 -06:00,41,0,69.97915522365575,75.496069,0,0,0,Run,Running,Running Normally,Part K-1000,Part K,Second Shift,Team 2
5551863,Line3,2025-01-29 17:44:04.1087940 -06:00,2025-01-29 17:47:20.7696410 -06:00,0,0,0,0,196.660847,0,196.660847,Unplanned Stop,Down,Broken Conveyor,Part L-2000,Part L,Second Shift,Team 2
5551851,Line1,2025-01-29 17:43:55.5039310 -06:00,2025-01-29 17:45:19.7535520 -06:00,0,0,0,0,84.249621,0,84.249621,Unplanned Stop,Down,No Operator,Part K-1000,Part K,Second Shift,Team 2
5551843,Line1,2025-01-29 17:35:13.9766210 -06:00,2025-01-29 17:43:55.5039310 -06:00,255,7,440.1830250000001,521.52731,0,0,0,Run,Running,Running Normally,Part K-1000,Part K,Second Shift,Team 2
5551832,Line1,2025-01-29 17:35:11.0000000 -06:00,2025-01-29 17:35:13.9766210 -06:00,-4,4,1.686525000001147,2.976621,0,0,0,Run,Running,Running Normally,Part K-1000,Part K,Second Shift,Team 2
5551846,Line3,2025-01-29 17:33:31.8725160 -06:00,2025-01-29 17:44:04.1087940 -06:00,357,3,592.3621697137153,632.236278,0,0,0,Run,Running,Running Normally,Part L-2000,Part L,Second Shift,Team 2
5551853,Line4,2025-01-29 17:33:20.0452530 -06:00,2025-01-29 17:46:14.3473120 -06:00,288,2,461.679999999999,774.302059,0,0,0,Run,Running,Running Normally,Part J-4000,Part J,Second Shift,Team 3
5551815,Line3,2025-01-29 17:33:11.8725160 -06:00,2025-01-29 17:33:31.8725160 -06:00,13,0,21.86625528628312,20,0,0,0,Run,Running,Running Normally,Part L-2000,Part L,Second Shift,Team 2
5551867,Line2,2025-01-29 17:32:47.1700700 -06:00,2025-01-29 17:47:36.1078870 -06:00,298,30,569.4981999999967,888.937817,0,0,0,Run,Running,Running Normally,Part M-3000,Part M,Second Shift,Team 3
5551813,Line3,2025-01-29 17:30:45.0000000 -06:00,2025-01-29 17:33:11.8725160 -06:00,0,0,0,0,146.872516,0,146.872516,Unplanned Stop,Down,Main B Bus Undervolt,Part L-2000,Part L,Second Shift,Team 2
5551811,Line4,2025-01-29 17:30:32.0360270 -06:00,2025-01-29 17:33:20.0452530 -06:00,0,0,0,0,168.009226,0,168.009226,Unplanned Stop,Down,Adjustment,Part J-4000,Part J,Second Shift,Team 3
5551801,Line3,2025-01-29 17:30:00.0000000 -06:00,2025-01-29 17:30:45.0000000 -06:00,0,0,0,0,45,0,45,Unplanned Stop,Down,Main B Bus Undervolt,Part L-2000,Part L,Second Shift,Team 2
5551812,Line2,2025-01-29 17:29:50.7058200 -06:00,2025-01-29 17:32:47.1700700 -06:00,0,0,0,0,176.46425,0,176.46425,Unplanned Stop,Down,Broken Conveyor,Part M-3000,Part M,Second Shift,Team 3
5551829,Line1,2025-01-29 17:29:27.0000000 -06:00,2025-01-29 17:35:11.0000000 -06:00,0,0,0,0,0,344,0,Planned Stop,Changeover,Mixing,Part K-1000,Part K,Second Shift,Team 2
5551786,Line2,2025-01-29 17:28:55.0000000 -06:00,2025-01-29 17:29:50.7058200 -06:00,-1,6,7.276053491506761,55.70582,0,0,0,Run,Running,Running Normally,Part M-3000,Part M,Second Shift,Team 3
5551785,Line4,2025-01-29 17:19:35.3730110 -06:00,2025-01-29 17:30:32.0360270 -06:00,228,13,383.67199999999974,656.663016,0,0,0,Run,Running,Running Normally,Part J-4000,Part J,Second Shift,Team 3
5551780,Line1,2025-01-29 17:19:20.7236340 -06:00,2025-01-29 17:29:27.0000000 -06:00,322,16,570.0454500000006,606.276366,0,0,0,Run,Running,Running Normally,Part K-3000,Part K,Second Shift,Team 2
5551776,Line2,2025-01-29 17:18:56.9584700 -06:00,2025-01-29 17:28:55.0000000 -06:00,207,9,374.7044465084936,598.04153,0,0,0,Run,Running,Running Normally,Part M-3000,Part M,Second Shift,Team 3
5551770,Line2,2025-01-29 17:18:55.0000000 -06:00,2025-01-29 17:18:56.9584700 -06:00,0,0,1.736274999998761,1.95847,0,0,0,Run,Running,Running Normally,Part M-3000,Part M,Second Shift,Team 3
5551773,Line1,2025-01-29 17:15:45.0000000 -06:00,2025-01-29 17:19:20.7236340 -06:00,0,0,0,0,215.723634,0,215.723634,Unplanned Stop,Down,Pressure Leak,Part K-3000,Part K,Second Shift,Team 2
5551764,Line4,2025-01-29 17:15:45.0000000 -06:00,2025-01-29 17:19:35.3730110 -06:00,0,0,0,0,230.373011,0,230.373011,Unplanned Stop,Down,Electrical Fault,Part J-4000,Part J,Second Shift,Team 3
5551789,Line3,2025-01-29 17:15:30.0000000 -06:00,2025-01-29 17:30:00.0000000 -06:00,1,0,0,0,0,0,0,Not Scheduled,Meal/Break,Break,Part L-2000,Part L,Second Shift,Team 2
5551788,Line3,2025-01-29 17:15:00.0000000 -06:00,2025-01-29 17:15:30.0000000 -06:00,18,0,0,0,0,0,0,Not Scheduled,Meal/Break,Break,Part L-2000,Part L,Second Shift,Team 1
5551767,Line2,2025-01-29 17:15:00.0000000 -06:00,2025-01-29 17:18:55.0000000 -06:00,0,0,0,0,0,235,0,Planned Stop,Changeover,Disinfection,Part M-3000,Part M,Second Shift,Team 3
5551762,Line1,2025-01-29 17:15:00.0000000 -06:00,2025-01-29 17:15:45.0000000 -06:00,0,0,0,0,45,0,45,Unplanned Stop,Down,Pressure Leak,Part K-3000,Part K,Second Shift,Team 2
5551763,Line4,2025-01-29 17:15:00.0000000 -06:00,2025-01-29 17:15:45.0000000 -06:00,0,0,0,0,45,0,45,Unplanned Stop,Down,Electrical Fault,Part J-4000,Part J,Second Shift,Team 3
5551729,Line3,2025-01-29 17:06:07.4838390 -06:00,2025-01-29 17:15:00.0000000 -06:00,311,16,536.8323500000005,532.516161,0,0,0,Run,Running,Running Normally,Part L-2000,Part L,Second Shift,Team 1
5551703,Line3,2025-01-29 17:06:05.0000000 -06:00,2025-01-29 17:06:07.4838390 -06:00,0,0,1.646724999999706,2.483839,0,0,0,Run,Running,Running Normally,Part L-2000,Part L,Second Shift,Team 1
5551700,Line3,2025-01-29 17:05:37.3369440 -06:00,2025-01-29 17:06:05.0000000 -06:00,0,0,0,0,0,27.663056,0,Planned Stop,Changeover,Part Change,Part L-2000,Part L,Second Shift,Team 1
5551749,Line1,2025-01-29 17:02:06.0000000 -06:00,2025-01-29 17:15:00.0000000 -06:00,4,0,0,0,0,0,0,Not Scheduled,Meal/Break,Break,Part K-3000,Part K,Second Shift,Team 2
5551728,Line2,2025-01-29 17:01:53.0000000 -06:00,2025-01-29 17:15:00.0000000 -06:00,0,0,0,0,0,0,0,Not Scheduled,Meal/Break,Break,Part M-3000,Part M,Second Shift,Team 3
5551725,Line4,2025-01-29 17:00:21.0000000 -06:00,2025-01-29 17:15:00.0000000 -06:00,0,0,0,0,0,0,0,Not Scheduled,Meal/Break,Break,Part J-4000,Part J,Second Shift,Team 3
5551699,Line3,2025-01-29 17:00:06.0000000 -06:00,2025-01-29 17:05:37.3369440 -06:00,0,0,0,0,0,331.336944,0,Planned Stop,Changeover,Part Change,Part L-2000,Part L,Second Shift,Team 1
5551724,Line4,2025-01-29 17:00:00.0000000 -06:00,2025-01-29 17:00:21.0000000 -06:00,9,0,0,0,0,0,0,Not Scheduled,Meal/Break,Break,Part J-4000,Part J,Second Shift,Team 2
5551727,Line2,2025-01-29 17:00:00.0000000 -06:00,2025-01-29 17:01:53.0000000 -06:00,0,0,0,0,0,0,0,Not Scheduled,Meal/Break,Break,Part M-3000,Part M,Second Shift,Team 1
5551748,Line1,2025-01-29 17:00:00.0000000 -06:00,2025-01-29 17:02:06.0000000 -06:00,69,0,0,0,0,0,0,Not Scheduled,Meal/Break,Break,Part K-3000,Part K,Second Shift,Team 1
5551680,Line3,2025-01-29 17:00:00.0000000 -06:00,2025-01-29 17:00:06.0000000 -06:00,2,0,1.725940696348906,6,0,0,0,Run,Running,Running Normally,Part J-1000,Part J,Second Shift,Team 1
5551766,Line2,2025-01-29 16:59:31.0000000 -06:00,2025-01-29 17:00:00.0000000 -06:00,0,0,0,0,0,29,0,Planned Stop,Changeover,Disinfection,Part M-3000,Part M,Second Shift,Team 1
5551665,Line4,2025-01-29 16:57:20.4587590 -06:00,2025-01-29 17:00:00.0000000 -06:00,69,0,109.84799999999994,159.541241,0,0,0,Run,Running,Running Normally,Part J-4000,Part J,Second Shift,Team 2
5551658,Line1,2025-01-29 16:57:06.5656730 -06:00,2025-01-29 17:00:00.0000000 -06:00,78,9,146.72767500000003,173.434327,0,0,0,Run,Running,Running Normally,Part K-3000,Part K,Second Shift,Team 1
5551656,Line1,2025-01-29 16:56:04.1317000 -06:00,2025-01-29 16:57:06.5656730 -06:00,0,0,0,0,62.433973,0,62.433973,Unplanned Stop,Down,Adjustment,Part K-3000,Part K,Second Shift,Team 1
5551653,Line4,2025-01-29 16:54:18.1693640 -06:00,2025-01-29 16:57:20.4587590 -06:00,0,0,0,0,182.289395,0,182.289395,Unplanned Stop,Down,Jam,Part J-4000,Part J,Second Shift,Team 2
5551661,Line2,2025-01-29 16:52:58.6977060 -06:00,2025-01-29 16:59:31.0000000 -06:00,215,12,394.1344249999989,392.302294,0,0,0,Run,Running,Running Normally,Part O-2000,Part O,Second Shift,Team 1
5551678,Line3,2025-01-29 16:51:53.6736190 -06:00,2025-01-29 17:00:00.0000000 -06:00,200,5,339.1461343036517,486.326381,0,0,0,Run,Running,Running Normally,Part J-1000,Part J,Second Shift,Team 1
5551647,Line2,2025-01-29 16:49:34.5454770 -06:00,2025-01-29 16:52:58.6977060 -06:00,0,0,0,0,204.152229,0,204.152229,Unplanned Stop,Down,Electrical Fault,Part O-2000,Part O,Second Shift,Team 1
5551643,Line3,2025-01-29 16:48:09.3023020 -06:00,2025-01-29 16:51:53.6736190 -06:00,0,0,0,0,224.371317,0,224.371317,Unplanned Stop,Down,Broken Conveyor,Part J-1000,Part J,Second Shift,Team 1
5551642,Line2,2025-01-29 16:46:57.1757420 -06:00,2025-01-29 16:49:34.5454770 -06:00,64,2,114.59415000000017,157.369735,0,0,0,Run,Running,Running Normally,Part O-2000,Part O,Second Shift,Team 1
5551637,Line2,2025-01-29 16:43:48.6325820 -06:00,2025-01-29 16:46:57.1757420 -06:00,0,0,0,0,188.54316,0,188.54316,Unplanned Stop,Down,Main B Bus Undervolt,Part O-2000,Part O,Second Shift,Team 1
5551638,Line3,2025-01-29 16:43:32.5069990 -06:00,2025-01-29 16:48:09.3023020 -06:00,72,4,125.1511000000002,276.795303,0,0,0,Run,Running,Running Normally,Part J-1000,Part J,Second Shift,Team 1
5551652,Line1,2025-01-29 16:43:29.2865430 -06:00,2025-01-29 16:56:04.1317000 -06:00,346,16,610.5220499999997,754.845157,0,0,0,Run,Running,Running Normally,Part K-3000,Part K,Second Shift,Team 1
5551648,Line4,2025-01-29 16:42:14.0000000 -06:00,2025-01-29 16:54:18.1693640 -06:00,256,24,445.23976017559806,724.169364,0,0,0,Run,Running,Running Normally,Part J-4000,Part J,Second Shift,Team 2
5551628,Line3,2025-01-29 16:39:59.5535390 -06:00,2025-01-29 16:43:32.5069990 -06:00,0,0,0,0,212.95346,0,212.95346,Unplanned Stop,Down,No Material,Part J-1000,Part J,Second Shift,Team 1
5551634,Line1,2025-01-29 16:38:03.4026310 -06:00,2025-01-29 16:43:29.2865430 -06:00,0,0,0,0,325.883912,0,325.883912,Unplanned Stop,Down,Security Alarm,Part K-3000,Part K,Second Shift,Team 1
5551636,Line2,2025-01-29 16:35:42.7158490 -06:00,2025-01-29 16:43:48.6325820 -06:00,247,9,444.48639999999824,485.916733,0,0,0,Run,Running,Running Normally,Part O-2000,Part O,Second Shift,Team 1
5551617,Line2,2025-01-29 16:32:18.5900640 -06:00,2025-01-29 16:35:42.7158490 -06:00,0,0,0,0,204.125785,0,204.125785,Unplanned Stop,Down,Security Alarm,Part O-2000,Part O,Second Shift,Team 1
5551627,Line4,2025-01-29 16:32:15.5068400 -06:00,2025-01-29 16:42:14.0000000 -06:00,237,11,393.74423982440265,598.49316,0,0,0,Run,Running,Running Normally,Part J-4000,Part J,Second Shift,Team 2
5551611,Line4,2025-01-29 16:32:14.0000000 -06:00,2025-01-29 16:32:15.5068400 -06:00,0,0,1.591999999998067,1.50684,0,0,0,Run,Running,Running Normally,Part J-4000,Part J,Second Shift,Team 2
5551622,Line3,2025-01-29 16:32:06.9002920 -06:00,2025-01-29 16:39:59.5535390 -06:00,153,3,256.88910000000044,472.653247,0,0,0,Run,Running,Running Normally,Part J-1000,Part J,Second Shift,Team 1
5551614,Line3,2025-01-29 16:28:12.6942260 -06:00,2025-01-29 16:32:06.9002920 -06:00,0,0,0,0,234.206066,0,234.206066,Unplanned Stop,Down,Main B Bus Undervolt,Part J-1000,Part J,Second Shift,Team 1
5551608,Line4,2025-01-29 16:27:33.0000000 -06:00,2025-01-29 16:32:14.0000000 -06:00,0,0,0,0,0,281,0,Planned Stop,Changeover,Gasket Change,Part J-4000,Part J,Second Shift,Team 2
5551616,Line2,2025-01-29 16:26:58.6490620 -06:00,2025-01-29 16:32:18.5900640 -06:00,154,6,277.80400000000037,319.941002,0,0,0,Run,Running,Running Normally,Part O-2000,Part O,Second Shift,Team 1
5551619,Line1,2025-01-29 16:25:21.9090950 -06:00,2025-01-29 16:38:03.4026310 -06:00,386,7,662.8043249999985,761.493536,0,0,0,Run,Running,Running Normally,Part K-3000,Part K,Second Shift,Team 1
5551601,Line2,2025-01-29 16:24:28.1963200 -06:00,2025-01-29 16:26:58.6490620 -06:00,0,0,0,0,150.452742,0,150.452742,Unplanned Stop,Down,No Operator,Part O-2000,Part O,Second Shift,Team 1
5551597,Line1,2025-01-29 16:22:06.8803560 -06:00,2025-01-29 16:25:21.9090950 -06:00,0,0,0,0,195.028739,0,195.028739,Unplanned Stop,Down,No Operator,Part K-3000,Part K,Second Shift,Team 1
5551596,Line2,2025-01-29 16:21:02.4160820 -06:00,2025-01-29 16:24:28.1963200 -06:00,94,0,163.20985000000033,205.780238,0,0,0,Run,Running,Running Normally,Part O-2000,Part O,Second Shift,Team 1
5551603,Line4,2025-01-29 16:17:23.8806900 -06:00,2025-01-29 16:27:33.0000000 -06:00,360,23,609.7359999999976,609.11931,0,0,0,Run,Running,Running Normally,Part D-2000,Part D,Second Shift,Team 2
5551591,Line2,2025-01-29 16:16:03.2162610 -06:00,2025-01-29 16:21:02.4160820 -06:00,0,0,0,0,299.199821,0,299.199821,Unplanned Stop,Down,Pressure Leak,Part O-2000,Part O,Second Shift,Team 1
5551604,Line3,2025-01-29 16:15:53.9637040 -06:00,2025-01-29 16:28:12.6942260 -06:00,263,21,467.6699000000009,738.730522,0,0,0,Run,Running,Running Normally,Part J-1000,Part J,Second Shift,Team 1
5551590,Line4,2025-01-29 16:14:13.6756110 -06:00,2025-01-29 16:17:23.8806900 -06:00,0,0,0,0,190.205079,0,190.205079,Unplanned Stop,Down,Main B Bus Undervolt,Part D-2000,Part D,Second Shift,Team 2
5551589,Line3,2025-01-29 16:12:16.0719340 -06:00,2025-01-29 16:15:53.9637040 -06:00,0,0,0,0,217.89177,0,217.89177,Unplanned Stop,Down,Breakdown,Part J-1000,Part J,Second Shift,Team 1
5551580,Line3,2025-01-29 16:09:29.0000000 -06:00,2025-01-29 16:12:16.0719340 -06:00,45,0,73.91914920148722,167.071934,0,0,0,Run,Running,Running Normally,Part J-1000,Part J,Second Shift,Team 1
5551584,Line4,2025-01-29 16:07:34.4020430 -06:00,2025-01-29 16:14:13.6756110 -06:00,218,6,356.608,399.273568,0,0,0,Run,Running,Running Normally,Part D-2000,Part D,Second Shift,Team 2
