quality_stream_key,deviceKey,count,reject_reason_display_name,prodmetric_stream_key
1750370,Line 3,3,Out of Spec,5425647
1750371,Line 3,3,Detected by Max WIP,5425647
1750372,Line 3,17,Cosmetic Defect,5425647
1756302,Line 3,3,Reject,5436992
1756303,Line 3,7,Scratch,5436992
1756381,Line 1,17,Underweight,5437191
1756382,Line 1,1,Scratch,5437191
1756383,Line 1,1,Bad Packaging,5437191
1756457,Line 3,5,Underweight,5437356
1756458,Line 3,3,Out of Spec,5437356
1756540,Line 1,2,foreign particle,5437544
1756571,Line 3,6,Scratch,5437667
1756709,Line 1,2,Reject,5437898
1756710,Line 1,2,Cosmetic Defect,5437898
1756786,Line 3,5,Overweight,5438022
1756936,Line 3,3,Scratch,5438396
1756988,Line 1,6,foreign particle,5438475
1756989,Line 1,6,Underweight,5438475
1756990,Line 1,5,xyz,5438475
1756991,Line 1,17,Overweight,5438475
1756992,Line 1,1,Cosmetic Defect,5438475
1757061,Line 3,7,Reject,5438659
1757062,Line 3,6,Detected by Max WIP,5438659
1757064,Line 3,5,Out of Spec,5438674
1757086,Line 3,2,Reject,5438754
1757087,Line 3,10,Cosmetic Defect,5438754
1757088,Line 3,1,Out of Spec,5438754
1757130,Line 1,3,Scratch,5438862
1757131,Line 1,7,Reject,5438862
1757210,Line 3,3,Reject,5439027
1757211,Line 3,2,Cosmetic Defect,5439027
1757212,Line 3,7,Detected by Max WIP,5439027
1757226,Line 3,15,Underweight,5439047
1757227,Line 3,6,Cosmetic Defect,5439047
1757243,Line 3,6,Underweight,5439077
1757320,Line 1,13,xyz,5439268
1757369,Line 3,9,Overweight,5439369
1757370,Line 3,1,Reject,5439369
1757443,Line 3,3,Underweight,5439477
1757574,Line 3,10,Detected by Max WIP,5439774
1757725,Line 3,12,Reject,5440067
1757824,Line 3,21,Out of Spec,5440181
1757825,Line 3,2,Scratch,5440181
1758075,Line 3,10,Reject,5440798
1758076,Line 3,15,Overweight,5440798
1758077,Line 3,6,Underweight,5440798
1758078,Line 3,11,Detected by Max WIP,5440798
1758079,Line 3,5,Cosmetic Defect,5440798
1758116,Line 3,10,Reject,5440872
1758117,Line 3,1,Scratch,5440872
1758128,Line 1,7,Overweight,5440882
1758129,Line 1,8,Scratch,5440882
1758366,Line 1,1,foreign particle,5441352
1758367,Line 1,5,Underweight,5441352
1758368,Line 1,4,Out of Spec,5441352
1758369,Line 1,8,Squished,5441352
1758529,Line 1,6,Out of Spec,5441648
1758530,Line 1,12,Overweight,5441648
1758557,Line 3,4,Out of Spec,5441717
1758564,Line 1,10,Cosmetic Defect,5441733
1758565,Line 1,4,Scratch,5441733
1758746,Line 1,4,Detected by Max WIP,5442074
1758747,Line 1,7,Cosmetic Defect,5442074
1758760,Line 3,14,Cosmetic Defect,5442081
1758761,Line 3,19,Detected by Max WIP,5442081
1758775,Line 1,3,Underweight,5442202
1758812,Line 1,2,Overweight,5442228
1758903,Line 1,4,Bad Packaging,5442543
1758935,Line 1,2,Underweight,5442592
1758936,Line 1,3,Reject,5442592
1759025,Line 3,4,Out of Spec,5442776
1759026,Line 3,2,Detected by Max WIP,5442776
1759027,Line 3,10,Reject,5442776
1759028,Line 3,1,Cosmetic Defect,5442776
1759089,Line 3,4,Reject,5442835
1759090,Line 3,6,Detected by Max WIP,5442835
1759113,Line 3,1,Scratch,5442866
1759156,Line 1,10,Scratch,5442952
1759157,Line 1,6,Reject,5442952
1759158,Line 1,5,Detected by Max WIP,5442952
1750388,Line 1,1,Bad Packaging,5425752
1750523,Line 3,1,Cosmetic Defect,5425945
1750524,Line 3,4,Underweight,5425945
1750551,Line 1,9,Cosmetic Defect,5425989
1750554,Line 3,1,Underweight,5425981
1750566,Line 3,6,Reject,5426024
1750571,Line 1,1,Detected by Max WIP,5426021
1750572,Line 1,3,Out of Spec,5426021
1750599,Line 1,5,foreign particle,5426052
1750600,Line 1,7,Scratch,5426052
1750601,Line 1,9,Out of Spec,5426052
1750602,Line 1,15,Overweight,5426052
1750697,Line 3,1,Out of Spec,5426257
1750698,Line 3,8,Underweight,5426257
1750733,Line 3,7,Scratch,5426288
1750734,Line 3,3,Reject,5426288
1750750,Line 3,2,Detected by Max WIP,5426312
1750751,Line 3,13,Cosmetic Defect,5426312
1750764,Line 3,2,Scratch,5426361
1750792,Line 1,6,Underweight,5426409
1750793,Line 1,9,Overweight,5426409
1750837,Line 1,1,Detected by Max WIP,5426450
1750838,Line 1,2,Bad Packaging,5426450
1750839,Line 1,1,Out of Spec,5426450
1750914,Line 3,7,Scratch,5426606
1750915,Line 3,9,Detected by Max WIP,5426606
1750916,Line 3,5,Out of Spec,5426606
1751035,Line 1,1,xyz,5426803
1751036,Line 1,7,Underweight,5426803
1751037,Line 1,14,Cosmetic Defect,5426803
1751038,Line 1,2,Reject,5426803
1751118,Line 1,5,Cosmetic Defect,5426895
1751119,Line 1,1,Bad Packaging,5426895
1751242,Line 1,6,foreign particle,5427175
1751243,Line 1,4,Scratch,5427175
1751244,Line 1,2,Overweight,5427175
1751245,Line 1,4,Squished,5427175
1751246,Line 1,4,Reject,5427175
1751292,Line 3,4,Reject,5427245
1751293,Line 3,7,Out of Spec,5427245
1751294,Line 3,5,Underweight,5427245
1751518,Line 3,10,Out of Spec,5427653
1751540,Line 1,6,Scratch,5427675
1751748,Line 1,4,xyz,5428037
1751766,Line 1,8,Out of Spec,5428091
1751767,Line 1,6,Cosmetic Defect,5428091
1751964,Line 1,13,Scratch,5428560
1751965,Line 1,9,Detected by Max WIP,5428560
1751966,Line 1,1,Cosmetic Defect,5428560
1751978,Line 3,5,Detected by Max WIP,5428587
1751989,Line 3,3,Scratch,5428611
1751997,Line 3,6,Scratch,5428626
1752107,Line 1,1,Out of Spec,5428848
1752108,Line 1,2,Underweight,5428848
1752193,Line 1,14,Squished,5428980
1752194,Line 1,6,xyz,5428980
1752373,Line 3,20,Detected by Max WIP,5429245
1752379,Line 1,3,Underweight,5429252
1752380,Line 1,5,Overweight,5429252
1752426,Line 3,2,Underweight,5429301
1752427,Line 3,1,Detected by Max WIP,5429301
1752429,Line 1,2,Cosmetic Defect,5429342
1752586,Line 3,7,Reject,5429627
1752591,Line 3,3,Overweight,5429654
1752592,Line 3,6,Scratch,5429654
1752596,Line 3,1,Underweight,5429678
1752686,Line 3,8,Overweight,5430131
1752687,Line 3,5,Out of Spec,5430131
1752710,Line 3,11,Out of Spec,5430163
1752711,Line 3,3,Underweight,5430163
1752801,Line 3,1,Overweight,5430435
1752802,Line 3,3,Out of Spec,5430435
1752803,Line 3,3,Cosmetic Defect,5430435
1752804,Line 3,3,Scratch,5430435
1752851,Line 3,2,Detected by Max WIP,5430502
1752852,Line 3,2,Cosmetic Defect,5430502
1759190,Line 1,15,foreign particle,5443011
1759191,Line 1,6,Underweight,5443011
1759192,Line 1,1,Reject,5443011
1759193,Line 1,2,Bad Packaging,5443011
1759194,Line 1,1,Overweight,5443011
1759195,Line 1,14,Cosmetic Defect,5443011
1759419,Line 1,4,foreign particle,5443389
1759420,Line 1,17,Detected by Max WIP,5443389
1759421,Line 1,4,Cosmetic Defect,5443389
1759441,Line 1,3,Cosmetic Defect,5443447
1759611,Line 3,7,Cosmetic Defect,5443816
1759612,Line 3,7,Overweight,5443816
1759766,Line 3,3,Out of Spec,5444115
1759767,Line 3,8,Detected by Max WIP,5444115
1759774,Line 1,5,Underweight,5444130
1759775,Line 1,1,Cosmetic Defect,5444130
1759802,Line 1,13,xyz,5444166
1759803,Line 1,5,Detected by Max WIP,5444166
1759818,Line 3,15,Detected by Max WIP,5444173
1759819,Line 3,7,Underweight,5444173
1759820,Line 3,15,Out of Spec,5444173
1759821,Line 3,8,Cosmetic Defect,5444173
1759844,Line 1,4,Out of Spec,5444224
1760018,Line 1,8,Bad Packaging,5444678
1760019,Line 1,15,Overweight,5444678
1760020,Line 1,2,Reject,5444678
1760207,Line 1,4,xyz,5445042
1760306,Line 3,6,Reject,5445190
1760408,Line 1,1,foreign particle,5445399
1760409,Line 1,3,Cosmetic Defect,5445399
1760629,Line 1,10,Bad Packaging,5445809
1760630,Line 1,3,foreign particle,5445809
1760631,Line 1,2,Cosmetic Defect,5445809
1760666,Line 1,3,Out of Spec,5445855
1760697,Line 3,3,Out of Spec,5445876
1760829,Line 3,5,Detected by Max WIP,5446207
1760852,Line 3,8,Overweight,5446237
1760853,Line 3,1,Detected by Max WIP,5446237
1760864,Line 3,3,Out of Spec,5446260
1760865,Line 3,1,Reject,5446260
1760881,Line 1,1,Scratch,5446291
1760882,Line 1,3,xyz,5446291
1760883,Line 1,2,Out of Spec,5446291
1760884,Line 1,5,foreign particle,5446291
1760897,Line 1,2,xyz,5446322
1760898,Line 1,10,Underweight,5446322
1760899,Line 1,3,foreign particle,5446322
1761000,Line 3,3,Detected by Max WIP,5446611
1761052,Line 1,5,Bad Packaging,5446692
1761142,Line 3,6,Overweight,5446860
1761143,Line 3,12,Out of Spec,5446860
1761242,Line 1,3,xyz,5447053
1761252,Line 1,2,Squished,5447106
1761342,Line 3,1,Cosmetic Defect,5447319
1761405,Line 1,1,Underweight,5447438
1761406,Line 1,1,Cosmetic Defect,5447438
1761407,Line 1,11,Overweight,5447438
1761408,Line 1,4,xyz,5447438
1761409,Line 1,3,foreign particle,5447438
1761410,Line 1,5,Squished,5447438
1761449,Line 3,4,Scratch,5447659
1761451,Line 3,8,Out of Spec,5447664
1761452,Line 3,6,Cosmetic Defect,5447671
1761453,Line 3,7,Underweight,5447671
1771269,Line 4,7,Reject,5467061
1771270,Line 4,6,Detected by Max WIP,5467061
1771286,Line 4,6,Reject,5467093
1771304,Line 4,10,Detected by Max WIP,5467252
1771305,Line 4,5,Reject,5467252
1771319,Line 4,20,Reject,5467275
1771337,Line 4,8,Detected by Max WIP,5467377
1771338,Line 4,2,Reject,5467377
1771509,Line 4,21,Detected by Max WIP,5467564
1771510,Line 4,2,Reject,5467564
1771528,Line 4,11,Reject,5467658
1771529,Line 4,12,Detected by Max WIP,5467658
1771532,Line 4,10,Detected by Max WIP,5467661
1753646,Line 1,14,foreign particle,5431932
1753647,Line 1,8,Squished,5431932
1753648,Line 1,2,Out of Spec,5431932
1753649,Line 1,3,xyz,5431932
1753714,Line 3,6,Reject,5432078
1753748,Line 3,6,Out of Spec,5432162
1753871,Line 1,1,Overweight,5432367
1753906,Line 3,7,Overweight,5432416
1753907,Line 3,1,Detected by Max WIP,5432416
1754089,Line 1,3,Bad Packaging,5432763
1754090,Line 1,7,xyz,5432763
1754091,Line 1,2,Cosmetic Defect,5432763
1754095,Line 1,2,foreign particle,5432799
1754096,Line 1,6,Scratch,5432799
1754097,Line 1,7,xyz,5432799
1754108,Line 1,1,Underweight,5432812
1754121,Line 1,10,Detected by Max WIP,5432862
1754122,Line 1,14,Cosmetic Defect,5432862
1754123,Line 1,6,Out of Spec,5432862
1754124,Line 1,9,Bad Packaging,5432862
1754215,Line 1,8,Bad Packaging,5433083
1754216,Line 1,7,Out of Spec,5433083
1754217,Line 1,7,Scratch,5433083
1754218,Line 1,6,Underweight,5433083
1754271,Line 3,9,Scratch,5433131
1754278,Line 3,4,Scratch,5433153
1754279,Line 3,4,Overweight,5433153
1754280,Line 3,2,Detected by Max WIP,5433153
1754320,Line 1,10,xyz,5433172
1754321,Line 1,12,Scratch,5433172
1754322,Line 1,14,Reject,5433172
1754339,Line 3,3,Underweight,5433191
1754340,Line 3,7,Out of Spec,5433191
1754341,Line 3,5,Detected by Max WIP,5433191
1754530,Line 1,5,Squished,5433553
1754531,Line 1,6,Reject,5433553
1754532,Line 1,5,xyz,5433553
1754588,Line 3,2,Detected by Max WIP,5433611
1754736,Line 1,6,Reject,5433872
1754737,Line 1,3,Squished,5433872
1754738,Line 1,8,foreign particle,5433872
1754739,Line 1,2,Detected by Max WIP,5433872
1754925,Line 1,2,Reject,5434258
1754926,Line 1,8,Out of Spec,5434258
1754927,Line 1,5,Overweight,5434258
1754928,Line 1,9,Bad Packaging,5434258
1754960,Line 3,3,Underweight,5434321
1755116,Line 3,7,Overweight,5434638
1755131,Line 1,5,Reject,5434698
1755223,Line 3,2,Scratch,5434974
1755266,Line 1,2,Detected by Max WIP,5435017
1755267,Line 1,1,Bad Packaging,5435017
1755268,Line 1,10,Reject,5435017
1755298,Line 1,7,xyz,5435075
1755299,Line 1,8,Cosmetic Defect,5435075
1755300,Line 1,1,Bad Packaging,5435075
1755301,Line 1,3,Reject,5435075
1755310,Line 1,18,Cosmetic Defect,5435121
1755311,Line 1,4,Out of Spec,5435121
1755447,Line 3,18,Scratch,5435315
1755448,Line 3,2,Cosmetic Defect,5435315
1755449,Line 3,8,Out of Spec,5435315
1755516,Line 1,7,Detected by Max WIP,5435541
1755517,Line 1,5,Out of Spec,5435541
1755573,Line 3,4,Reject,5435667
1755574,Line 3,2,Overweight,5435667
1755575,Line 3,3,Out of Spec,5435667
1755576,Line 3,11,Detected by Max WIP,5435667
1755616,Line 3,1,Scratch,5435698
1755685,Line 1,2,Out of Spec,5435889
1755759,Line 3,3,Scratch,5436060
1755760,Line 3,7,Out of Spec,5436060
1755761,Line 3,2,Detected by Max WIP,5436060
1755762,Line 3,6,Cosmetic Defect,5436060
1755763,Line 3,1,Reject,5436060
1755790,Line 3,2,Detected by Max WIP,5436085
1771943,Line 4,11,Detected by Max WIP,5468367
1771944,Line 4,18,Reject,5468367
1772157,Line 4,3,Reject,5468461
1772160,Line 4,23,Detected by Max WIP,5468464
1772161,Line 4,20,Reject,5468464
1772213,Line 4,6,Reject,5468580
1772214,Line 4,2,Detected by Max WIP,5468580
1772241,Line 4,11,Detected by Max WIP,5468788
1772244,Line 4,1,Detected by Max WIP,5468792
1772261,Line 4,7,Detected by Max WIP,5468834
1772262,Line 4,9,Reject,5468834
1772264,Line 4,10,Reject,5468847
1772265,Line 4,16,Detected by Max WIP,5468847
1772276,Line 4,15,Detected by Max WIP,5468947
1772277,Line 4,9,Reject,5468947
1772291,Line 4,8,Reject,5468985
1772292,Line 4,23,Detected by Max WIP,5468985
1772298,Line 4,1,Reject,5468996
1772314,Line 4,12,Detected by Max WIP,5469030
1772324,Line 4,39,Detected by Max WIP,5469143
1772325,Line 4,6,Reject,5469143
1772326,Line 4,4,Reject,5469149
1772327,Line 4,14,Detected by Max WIP,5469149
1772329,Line 4,38,Detected by Max WIP,5469153
1772330,Line 4,5,Reject,5469153
1772331,Line 4,11,Detected by Max WIP,5469156
1772332,Line 4,10,Reject,5469156
1772466,Line 4,14,Reject,5469299
1772469,Line 4,3,Detected by Max WIP,5469302
1772470,Line 4,9,Reject,5469302
1772485,Line 4,29,Reject,5469340
1772489,Line 4,3,Reject,5469348
1772490,Line 4,9,Detected by Max WIP,5469353
1772507,Line 4,17,Detected by Max WIP,5469392
1772508,Line 4,2,Reject,5469392
1772550,Line 4,4,Detected by Max WIP,5469658
1772551,Line 4,9,Reject,5469658
1772553,Line 4,8,Reject,5469662
1772662,Line 4,5,Reject,5469694
1772663,Line 4,10,Detected by Max WIP,5469694
1772665,Line 4,11,Reject,5469697
1772668,Line 4,7,Detected by Max WIP,5469706
1772686,Line 4,9,Detected by Max WIP,5469741
1772688,Line 4,1,Reject,5469747
1772689,Line 4,4,Detected by Max WIP,5469747
1772703,Line 4,15,Reject,5469779
1772707,Line 4,9,Reject,5469793
1772724,Line 4,25,Reject,5469962
1772727,Line 4,15,Reject,5469966
1772737,Line 4,20,Reject,5470000
1772738,Line 4,1,Reject,5470011
1772739,Line 4,4,Detected by Max WIP,5470011
1772755,Line 4,17,Detected by Max WIP,5470054
1772756,Line 4,18,Reject,5470054
1772787,Line 4,9,Detected by Max WIP,5470133
1772788,Line 4,5,Reject,5470133
1772804,Line 4,5,Detected by Max WIP,5470298
1772808,Line 4,13,Detected by Max WIP,5470306
1772822,Line 4,4,Reject,5470345
1772824,Line 4,15,Detected by Max WIP,5470349
1772840,Line 4,20,Reject,5470399
1772992,Line 4,3,Reject,5470594
1772995,Line 4,28,Reject,5470597
1772996,Line 4,5,Detected by Max WIP,5470597
1773014,Line 4,10,Detected by Max WIP,5470634
1773015,Line 4,3,Reject,5470634
1773016,Line 4,3,Reject,5470638
1773017,Line 4,16,Detected by Max WIP,5470638
1755791,Line 3,17,Underweight,5436085
1755792,Line 3,1,Reject,5436085
1755807,Line 3,6,Reject,5436121
1755808,Line 3,5,Scratch,5436121
1755856,Line 1,6,Detected by Max WIP,5436227
1755857,Line 1,2,Overweight,5436227
1755858,Line 1,5,Bad Packaging,5436227
1755892,Line 1,2,foreign particle,5436264
1755893,Line 1,8,Detected by Max WIP,5436264
1755894,Line 1,2,Reject,5436264
1755895,Line 1,5,Underweight,5436264
1756096,Line 1,3,Overweight,5436691
1756097,Line 1,7,xyz,5436691
1756185,Line 3,4,Out of Spec,5436806
1756349,Line 1,6,Cosmetic Defect,5437084
1756350,Line 1,1,Detected by Max WIP,5437084
1756351,Line 1,11,foreign particle,5437084
1756352,Line 1,8,Scratch,5437084
1756353,Line 1,10,Underweight,5437084
1756354,Line 3,10,Cosmetic Defect,5437111
1756373,Line 3,4,Detected by Max WIP,5437181
1756522,Line 3,10,Scratch,5437444
1756523,Line 3,3,Reject,5437444
1756524,Line 1,15,Detected by Max WIP,5437439
1756580,Line 1,3,foreign particle,5437691
1756635,Line 1,3,xyz,5437796
1756638,Line 3,8,Reject,5437839
1756639,Line 3,16,Overweight,5437839
1756686,Line 3,7,Overweight,5437886
1756687,Line 3,10,Detected by Max WIP,5437886
1756688,Line 3,5,Out of Spec,5437886
1756689,Line 3,7,Scratch,5437886
1756690,Line 3,8,Reject,5437886
1756725,Line 3,7,Overweight,5437917
1756748,Line 3,6,Detected by Max WIP,5437942
1756749,Line 3,5,Out of Spec,5437942
1756750,Line 3,8,Scratch,5437942
1756880,Line 1,6,Bad Packaging,5438207
1756881,Line 1,4,Overweight,5438207
1756882,Line 1,3,Cosmetic Defect,5438207
1756886,Line 3,7,Scratch,5438219
1756892,Line 3,4,Cosmetic Defect,5438234
1757022,Line 3,1,Cosmetic Defect,5438586
1757043,Line 1,2,Overweight,5438643
1757044,Line 1,2,Underweight,5438643
1757045,Line 1,3,xyz,5438643
1757046,Line 1,2,Detected by Max WIP,5438643
1757136,Line 3,5,Out of Spec,5438869
1757137,Line 3,4,Overweight,5438869
1757158,Line 3,5,Overweight,5438913
1757159,Line 3,6,Underweight,5438913
1757160,Line 3,11,Scratch,5438913
1757161,Line 3,9,Reject,5438913
1757218,Line 1,9,Out of Spec,5439043
1757219,Line 1,4,Overweight,5439043
1757245,Line 1,2,Underweight,5439095
1757246,Line 1,1,Cosmetic Defect,5439095
1757247,Line 1,6,foreign particle,5439095
